x,y,z,heading_angle,speed,curvature,longitude, latitude,altitude,attribute
247108.6953,3488494.203,13.62,103.230003,0,0,120.337321,31.503659,13.62,0
247108.6715,3488494.306,13.62,103.263334,0,0.00552,120.33732,31.50366,13.62,0
247108.6479,3488494.41,13.62,103.3,0,0.005989,120.33732,31.503661,13.62,0
247108.621,3488494.527,13.622857,103.334286,0,0.004978,120.33732,31.503662,13.622857,0
247108.5911,3488494.656,13.625556,103.372223,0,0.005028,120.33732,31.503663,13.625556,0
247108.5555,3488494.806,13.628182,103.412728,0,0.004563,120.337319,31.503664,13.628182,0
247108.5204,3488494.951,13.632308,103.449232,0,0.004277,120.337319,31.503666,13.632308,0
247108.4852,3488495.096,13.636667,103.484667,0,0.004135,120.337318,31.503667,13.636667,0
247108.4492,3488495.245,13.640588,103.521177,0,0.004168,120.337318,31.503668,13.640588,0
247108.4129,3488495.399,13.643684,103.558421,0,0.004122,120.337317,31.50367,13.643684,0
247108.3758,3488495.558,13.64619,103.595238,0,0.003934,120.337317,31.503671,13.64619,0
247108.3407,3488495.709,13.649048,103.631905,0,0.004129,120.337317,31.503672,13.649048,0
247108.3051,3488495.862,13.651905,103.668096,0,0.004002,120.337316,31.503674,13.651905,0
247108.2682,3488496.023,13.654762,103.706191,0,0.004041,120.337316,31.503675,13.654762,0
247108.2306,3488496.186,13.657619,103.74381,0,0.003925,120.337315,31.503677,13.657619,0
247108.1914,3488496.356,13.660476,103.782857,0,0.003902,120.337315,31.503678,13.660476,0
247108.1519,3488496.528,13.662857,103.821429,0,0.00381,120.337314,31.50368,13.662857,0
247108.1113,3488496.705,13.665238,103.860476,0,0.003757,120.337314,31.503681,13.665238,0
247108.0699,3488496.884,13.667619,103.899047,0,0.003653,120.337313,31.503683,13.667619,0
247108.0282,3488497.067,13.67,103.937619,0,0.003602,120.337313,31.503685,13.67,0
247107.9871,3488497.246,13.672381,103.974762,0,0.003529,120.337313,31.503686,13.672381,0
247107.9445,3488497.432,13.674762,104.012381,0,0.003436,120.337312,31.503688,13.674762,0
247107.9021,3488497.619,13.676667,104.05,0,0.003429,120.337312,31.50369,13.676667,0
247107.8581,3488497.812,13.678095,104.089523,0,0.003483,120.337311,31.503691,13.678095,0
247107.8144,3488498.005,13.679524,104.129524,0,0.003533,120.33731,31.503693,13.679524,0
247107.7696,3488498.203,13.680476,104.170476,0,0.00351,120.33731,31.503695,13.680476,0
247107.7251,3488498.4,13.681905,104.210476,0,0.003452,120.337309,31.503697,13.681905,0
247107.6795,3488498.603,13.683333,104.251428,0,0.003438,120.337309,31.503698,13.683333,0
247107.6341,3488498.804,13.684762,104.291428,0,0.003391,120.337308,31.5037,13.684762,0
247107.5873,3488499.009,13.68619,104.331904,0,0.003354,120.337308,31.503702,13.68619,0
247107.541,3488499.212,13.687619,104.371904,0,0.003359,120.337307,31.503704,13.687619,0
247107.4934,3488499.419,13.689048,104.411904,0,0.003288,120.337307,31.503706,13.689048,0
247107.4465,3488499.623,13.69,104.450952,0,0.003258,120.337306,31.503708,13.69,0
247107.3984,3488499.83,13.690952,104.489523,0,0.00316,120.337306,31.503709,13.690952,0
247107.351,3488500.034,13.691905,104.525714,0,0.003021,120.337305,31.503711,13.691905,0
247107.3028,3488500.242,13.692857,104.560952,0,0.002888,120.337305,31.503713,13.692857,0
247107.2553,3488500.444,13.69381,104.594285,0,0.002792,120.337304,31.503715,13.69381,0
247107.207,3488500.651,13.695238,104.628095,0,0.002786,120.337303,31.503717,13.695238,0
247107.1596,3488500.852,13.696667,104.659999,0,0.002688,120.337303,31.503719,13.696667,0
247107.1115,3488501.057,13.698095,104.691428,0,0.002606,120.337302,31.50372,13.698095,0
247107.0643,3488501.258,13.699048,104.721428,0,0.002543,120.337302,31.503722,13.699048,0
247107.0164,3488501.461,13.7,104.750952,0,0.002462,120.337301,31.503724,13.7,0
247106.9694,3488501.66,13.700952,104.779523,0,0.002438,120.337301,31.503726,13.700952,0
247106.9214,3488501.863,13.701905,104.807618,0,0.002359,120.3373,31.503728,13.701905,0
247106.8746,3488502.061,13.702857,104.833809,0,0.002248,120.3373,31.503729,13.702857,0
247106.8267,3488502.262,13.70381,104.858571,0,0.002093,120.337299,31.503731,13.70381,0
247106.7798,3488502.458,13.704762,104.881904,0,0.002017,120.337298,31.503733,13.704762,0
247106.7321,3488502.657,13.705238,104.904761,0,0.001944,120.337298,31.503735,13.705238,0
247106.6845,3488502.856,13.705714,104.92619,0,0.001831,120.337297,31.503736,13.705714,0
247106.637,3488503.054,13.70619,104.947142,0,0.001795,120.337297,31.503738,13.70619,0
247106.5897,3488503.252,13.707143,104.967143,0,0.001719,120.337296,31.50374,13.707143,0
